Open;Close;High;Low;Volume;Volume_Max;Volume_Min;Is_US_Elections;Trend;Trend_7_Days;Trend_31_Days;Trend_12_Months
329.0799865722656;328.7900085449219;329.8599853515625;327.760009765625;154580000;11456230000;14990000;0;-1;-1;0;0
328.7900085449219;330.9200134277344;332.1000061035156;328.0899963378906;164400000;11456230000;14990000;0;1;1;0;0
330.9200134277344;331.8500061035156;332.1600036621094;330.45001220703125;130950000;11456230000;14990000;0;1;1;0;0
331.8500061035156;329.6600036621094;331.8599853515625;328.20001220703125;134070000;11456230000;14990000;0;-1;1;0;0
329.6600036621094;333.75;333.760009765625;326.54998779296875;186710000;11456230000;14990000;0;1;1;0;0
333.75;332.9599914550781;336.0899963378906;332.0;176240000;11456230000;14990000;0;-1;1;0;0
333.0199890136719;333.6199951171875;334.6000061035156;332.4100036621094;146910000;11456230000;14990000;0;1;1;0;0
333.6199951171875;330.0799865722656;333.6199951171875;329.9700012207031;118390000;11456230000;14990000;0;-1;1;0;0
330.0799865722656;331.0199890136719;331.6099853515625;327.9200134277344;144490000;11456230000;14990000;0;1;1;0;0
331.0199890136719;332.010009765625;333.20001220703125;330.6400146484375;138530000;11456230000;14990000;0;1;1;-1;0
332.010009765625;334.8900146484375;335.2099914550781;331.6099853515625;174620000;11456230000;14990000;0;1;1;-1;0
334.8900146484375;332.7200012207031;335.6400146484375;332.4200134277344;166840000;11456230000;14990000;0;-1;-1;-1;0
332.7200012207031;327.989990234375;332.7200012207031;326.260009765625;147300000;11456230000;14990000;0;-1;-1;-1;0
327.9100036621094;327.6700134277344;328.1700134277344;324.4700012207031;159240000;11456230000;14990000;0;-1;-1;-1;0
327.6700134277344;325.70001220703125;330.9800109863281;325.70001220703125;184320000;11456230000;14990000;0;-1;-1;-1;0
325.70001220703125;324.1499938964844;326.1499938964844;322.1000061035156;148490000;11456230000;14990000;0;-1;-1;-1;0
324.1600036621094;328.6700134277344;328.6700134277344;323.9800109863281;148900000;11456230000;14990000;0;1;-1;-1;0
328.67999267578125;330.260009765625;331.94000244140625;328.4700012207031;152590000;11456230000;14990000;0;1;-1;-1;0
330.260009765625;331.8900146484375;333.4800109863281;330.1600036621094;184400000;11456230000;14990000;0;1;-1;-1;0
331.8900146484375;332.739990234375;334.3999938964844;331.0799865722656;157930000;11456230000;14990000;0;1;1;-1;0
332.739990234375;335.5400085449219;335.5400085449219;332.7200012207031;164330000;11456230000;14990000;0;1;1;-1;0
335.5400085449219;333.739990234375;336.3800048828125;333.489990234375;140110000;11456230000;14990000;0;-1;1;-1;0
333.739990234375;337.92999267578125;337.92999267578125;333.57000732421875;143640000;11456230000;14990000;0;1;1;-1;0
337.92999267578125;336.95001220703125;338.8399963378906;336.3299865722656;163580000;11456230000;14990000;0;-1;1;1;0
336.95001220703125;340.2699890136719;340.6600036621094;336.95001220703125;170900000;11456230000;14990000;0;1;1;1;0
340.1199951171875;337.92999267578125;340.2699890136719;336.8399963378906;150410000;11456230000;14990000;0;-1;1;1;0
337.92999267578125;338.6700134277344;339.0799865722656;336.1400146484375;114790000;11456230000;14990000;0;1;1;1;0
338.6700134277344;336.0;338.6700134277344;335.3599853515625;145440000;11456230000;14990000;0;-1;1;1;0
336.0;336.8699951171875;337.6300048828125;334.92999267578125;145060000;11456230000;14990000;0;1;1;1;0
336.8699951171875;338.07000732421875;338.9100036621094;336.8699951171875;144410000;11456230000;14990000;0;1;1;1;0
338.07000732421875;341.9100036621094;341.9100036621094;338.07000732421875;222520000;11456230000;14990000;0;1;1;1;0
341.9100036621094;343.5299987792969;343.760009765625;339.1199951171875;142300000;11456230000;14990000;0;1;1;1;0
343.5299987792969;341.57000732421875;344.489990234375;340.8699951171875;177320000;11456230000;14990000;0;-1;1;1;0
341.57000732421875;339.739990234375;342.3399963378906;339.5599975585937;130990000;11456230000;14990000;0;-1;1;1;0
339.739990234375;335.69000244140625;339.7699890136719;333.6199951171875;175930000;11456230000;14990000;0;-1;-1;1;0
335.69000244140625;337.2200012207031;337.5799865722656;335.69000244140625;132070000;11456230000;14990000;0;1;1;1;0
337.2200012207031;337.6300048828125;339.739990234375;337.2200012207031;116110000;11456230000;14990000;0;1;-1;1;0
337.6300048828125;341.5;341.5;337.0299987792969;131610000;11456230000;14990000;0;1;-1;1;0
341.5;342.0;342.5799865722656;340.6000061035156;142300000;11456230000;14990000;0;1;-1;1;0
342.0;340.7900085449219;342.07000732421875;339.7699890136719;132190000;11456230000;14990000;0;-1;-1;1;0
340.7900085449219;339.94000244140625;341.4100036621094;338.2099914550781;139340000;11456230000;14990000;0;-1;1;1;0
339.94000244140625;338.70001220703125;339.94000244140625;336.3299865722656;124360000;11456230000;14990000;0;-1;1;1;0
338.70001220703125;343.6400146484375;343.760009765625;338.70001220703125;154310000;11456230000;14990000;0;1;1;1;0
343.6400146484375;341.0899963378906;344.1199951171875;340.3999938964844;159530000;11456230000;14990000;0;-1;1;1;0
341.0899963378906;340.7300109863281;342.8500061035156;340.6300048828125;144170000;11456230000;14990000;0;-1;-1;1;0
340.7300109863281;340.0799865722656;341.7300109863281;338.94000244140625;137490000;11456230000;14990000;0;-1;-1;1;0
340.0799865722656;341.3699951171875;341.8299865722656;339.8800048828125;114970000;11456230000;14990000;0;1;1;1;0
341.3699951171875;342.07000732421875;342.4100036621094;340.6199951171875;136020000;11456230000;14990000;0;1;1;1;0
342.07000732421875;341.9200134277344;343.0;341.260009765625;141080000;11456230000;14990000;0;-1;1;1;0
341.9200134277344;344.3399963378906;344.7900085449219;341.9100036621094;142470000;11456230000;14990000;0;1;1;1;0
344.3399963378906;344.739990234375;347.29998779296875;344.1000061035156;142810000;11456230000;14990000;0;1;1;1;0
344.739990234375;344.67999267578125;345.19000244140625;342.0599975585937;127990000;11456230000;14990000;0;-1;1;1;0
344.67999267578125;340.7200012207031;345.3299865722656;340.1099853515625;147130000;11456230000;14990000;0;-1;1;1;0
340.7200012207031;338.0899963378906;340.7200012207031;337.5899963378906;152930000;11456230000;14990000;0;-1;-1;1;0
338.0899963378906;335.1199951171875;338.5199890136719;333.4100036621094;174260000;11456230000;14990000;0;-1;-1;-1;0
335.1199951171875;331.04998779296875;335.1199951171875;330.0899963378906;136150000;11456230000;14990000;0;-1;-1;-1;0
331.04998779296875;330.3599853515625;332.9700012207031;329.7099914550781;137360000;11456230000;14990000;0;-1;-1;-1;0
330.3599853515625;332.0299987792969;332.739990234375;330.3599853515625;133480000;11456230000;14990000;0;1;-1;-1;0
332.0299987792969;332.9200134277344;333.760009765625;330.6700134277344;141330000;11456230000;14990000;0;1;-1;-1;0
332.9200134277344;329.1099853515625;333.57000732421875;328.7099914550781;130630000;11456230000;14990000;0;-1;-1;-1;0
329.1099853515625;330.79998779296875;331.3099975585937;327.760009765625;122750000;11456230000;14990000;0;1;-1;-1;0
330.79998779296875;332.25;332.8299865722656;330.79998779296875;149020000;11456230000;14990000;0;1;-1;-1;0
332.25;334.4800109863281;334.4800109863281;332.1499938964844;141610000;11456230000;14990000;0;1;1;-1;0
334.4800109863281;335.57000732421875;337.0199890136719;334.4700012207031;145560000;11456230000;14990000;0;1;1;-1;0
335.5799865722656;338.3900146484375;338.4599914550781;335.1700134277344;140550000;11456230000;14990000;0;1;1;-1;0
338.3900146484375;340.5299987792969;341.07000732421875;338.1099853515625;132760000;11456230000;14990000;0;1;1;1;0
340.5299987792969;342.010009765625;342.0299987792969;340.1700134277344;144230000;11456230000;14990000;0;1;1;1;0
342.010009765625;342.8599853515625;343.0799865722656;340.8999938964844;152220000;11456230000;14990000;0;1;1;1;0
342.8699951171875;343.82000732421875;344.9800109863281;342.7699890136719;158460000;11456230000;14990000;0;1;1;1;0
343.82000732421875;352.0;352.3099975585937;343.82000732421875;234040000;11456230000;14990000;0;1;1;1;0
352.0;354.75;358.4100036621094;351.95001220703125;225410000;11456230000;14990000;0;1;1;1;0
354.75;354.2799987792969;355.0899963378906;352.8399963378906;165730000;11456230000;14990000;0;-1;1;1;0
354.2699890136719;354.0;354.67999267578125;351.95001220703125;159810000;11456230000;14990000;0;-1;1;1;0
354.0;354.4700012207031;356.9200134277344;354.0;164770000;11456230000;14990000;0;1;1;1;0
354.4700012207031;354.6400146484375;354.6400146484375;352.5199890136719;162520000;11456230000;14990000;0;1;1;1;0
